id,image,title,description,code,users,type,difficulty,upVotes,created,published,freeToUse,businessOnly,headerImage,creator
11,https://tryhackme-images.s3.amazonaws.com/room-icons/2872c789f749c4be44eb42f762181330.jpeg,Starting Out In Cyber Sec,Learn about the different career paths in Cyber Security and how TryHackMe can help!,startingoutincybersec,340864,walkthrough,easy,7013,2020-09-25T17:46:11.704Z,2020-09-27T16:49:13.567Z,True,False,https://assets.tryhackme.com/img/banners/default_tryhackme.png,tryhackme
12,https://tryhackme-images.s3.amazonaws.com/room-icons/99d3424920a0302aa1fda92e365999b8.png,OWASP Top 10,Learn about and exploit each of the OWASP Top 10 vulnerabilities; the 10 most critical web security risks.,owasptop10,152237,walkthrough,easy,6830,2020-07-08T14:59:08.818Z,2020-07-13T18:52:20.427Z,True,False,https://i.imgur.com/sP6d0iZ.png,ben
13,https://tryhackme-images.s3.amazonaws.com/room-icons/575b07c123e93347865cd3f95863b4f8.png,What is Networking?,Begin learning the fundamentals of computer networking in this bite-sized and interactive module.,whatisnetworking,369336,walkthrough,info,6555,2021-05-26T12:51:06.342Z,2021-07-01T10:43:41.452Z,True,False,https://assets.tryhackme.com/room-banners/networking.png,cmnatic
14,https://tryhackme-images.s3.amazonaws.com/room-icons/99c72676aab814b94e3bc350ba627b71.png,Basic Pentesting,This is a machine that allows you to practise web app hacking and privilege escalation ,basicpentestingjt,166173,challenge,easy,6450,2019-07-29T18:49:14.876Z,2019-07-29T18:49:14.876Z,True,False,https://i.imgur.com/moMbBki.png,ashu
15,https://tryhackme-images.s3.amazonaws.com/room-icons/7717bbc69c486931e503a74f3192a4d8.gif,Blue,"Deploy & hack into a Windows machine, leveraging common misconfigurations issues.",blue,187647,walkthrough,easy,6102,2019-03-17T23:39:23.554Z,2020-01-10T19:26:44.763Z,True,False,https://i.imgur.com/GosxHyQ.jpg,DarkStar7471
16,https://tryhackme-images.s3.amazonaws.com/room-icons/7bf1ab617cbac96e89cc28c48e10100a.png,Pentesting Fundamentals,Learn the important ethics and methodologies behind every pentest.,pentestingfundamentals,209531,walkthrough,info,5901,2021-07-08T18:45:32.897Z,2021-09-10T11:00:44.528Z,True,False,https://assets.tryhackme.com/room-banners/pentesting.png,cmnatic
17,https://tryhackme-images.s3.amazonaws.com/room-icons/e3a430848f603b37a0372db64d8b364a.png,Advent of Cyber 2 [2020],"Get started with Cyber Security in 25 Days - Learn the basics by doing a new, beginner friendly security challenge every day leading up to Christmas.",adventofcyber2,51293,walkthrough,easy,5814,2020-11-10T22:05:43.530Z,2020-12-25T17:15:09.016Z,True,False,https://assets.tryhackme.com/room-banners/adventofcyber.png,tryhackme
18,https://tryhackme-images.s3.amazonaws.com/room-icons/d5b18e9736de843aadb98cfb2e066117.png,Linux Fundamentals Part 3,Power-up your Linux skills and get hands-on with some common utilities that you are likely to use day-to-day!,linuxfundamentalspart3,222208,walkthrough,info,5483,2021-04-01T11:02:47.633Z,2021-05-27T11:01:55.390Z,True,False,https://assets.tryhackme.com/room-banners/linuxfund.png,tryhackme
19,https://tryhackme-images.s3.amazonaws.com/room-icons/9aa4e0fe36ec8148b02bfbd6c0507736.png,Linux Fundamentals Part 2,"Continue your learning Linux journey with part two. You will be learning how to log in to a Linux machine using SSH, how to advance your commands, file system interaction.",linuxfundamentalspart2,250602,walkthrough,info,5369,2021-03-25T14:07:22.996Z,2021-05-27T11:01:43.148Z,True,False,https://assets.tryhackme.com/room-banners/linuxfund.png,tryhackme
20,https://tryhackme-images.s3.amazonaws.com/room-icons/64e64795aa420cc8e9fb3be1bd69c302.png,DNS in detail,Learn how DNS works and how it helps you access internet services.,dnsindetail,230889,walkthrough,easy,5353,2021-04-07T09:02:19.188Z,2021-05-11T18:00:28.143Z,True,False,https://assets.tryhackme.com/additional/dnsindetail/dnsindetail.png,tryhackme
21,https://tryhackme-images.s3.amazonaws.com/room-icons/47d2d3ade1795f81a155d0aca6e4da96.jpeg,Pickle Rick,A Rick and Morty CTF. Help turn Rick back into a human!,picklerick,136062,challenge,easy,4931,2019-03-10T12:48:11.137Z,2020-04-22T15:01:42.269Z,True,False,https://i.imgur.com/BkKtAkO.png,tryhackme
22,https://tryhackme-images.s3.amazonaws.com/room-icons/623103b06d1d53c3d8bddfc16998f9d7.png,Network Services,"Learn about, then enumerate and exploit a variety of network services and misconfigurations.",networkservices,110778,walkthrough,easy,4850,2020-05-05T14:21:20.328Z,2020-05-05T19:33:09.047Z,False,False,https://i.imgur.com/dmxXqgO.png,PoloMints
23,https://tryhackme-images.s3.amazonaws.com/room-icons/6c678e92fe6d0da58f691d94c4cacbe5.png,Principles of Security,Learn the principles of information security that secures data and protects systems from abuse,principlesofsecurity,149287,walkthrough,info,4846,2021-07-08T18:46:36.008Z,2021-09-07T11:11:02.121Z,True,False,https://assets.tryhackme.com/room-banners/pentesting.png,cmnatic
24,https://tryhackme-images.s3.amazonaws.com/room-icons/0d8016560b5c32a92c56c289cea4b155.png,Walking An Application,"Manually review a web application for security issues using only your browsers developer tools. Hacking with just your browser, no tools or scripts.",walkinganapplication,170839,walkthrough,easy,4806,2021-06-28T13:02:30.543Z,2021-08-10T12:23:16.933Z,True,False,https://tryhackme-images.s3.amazonaws.com/user-uploads/5efe36fb68daf465530ca761/room-content/03376575e888fd097280c51469c29fbc.png,tryhackme
25,https://tryhackme-images.s3.amazonaws.com/room-icons/14daecc96c42994352f7c244b08335cf.png,Burp Suite: The Basics,An introduction to using Burp Suite for Web Application pentesting,burpsuitebasics,157461,walkthrough,info,4674,2021-07-11T18:55:13.742Z,2021-09-10T11:02:44.528Z,True,False,https://assets.tryhackme.com/room-banners/burpsuite.svg,MuirlandOracle
26,https://tryhackme-images.s3.amazonaws.com/room-icons/46f437a95b1de43238c290a9c416c8d4.png,Kenobi,"Walkthrough on exploiting a Linux machine. Enumerate Samba for shares, manipulate a vulnerable version of proftpd and escalate your privileges with path variable manipulation. ",kenobi,107534,walkthrough,easy,4418,2019-09-04T14:28:15.392Z,2020-04-25T10:37:40.468Z,True,False,https://i.imgur.com/zWNY3JF.png,tryhackme
27,https://tryhackme-images.s3.amazonaws.com/room-icons/c6be1cbcae4b32a8c6e8fb3b7e20825a.png,Intro to LAN,Learn about some of the technologies and designs that power private networks,introtolan,284373,walkthrough,info,4205,2021-05-26T12:53:57.336Z,2021-07-01T10:43:15.665Z,True,False,https://assets.tryhackme.com/room-banners/networking.png,cmnatic
28,https://tryhackme-images.s3.amazonaws.com/room-icons/5a1f94a2bdee82a5410f42346bd218c8.png,Network Services 2,Enumerating and Exploiting More Common Network Services & Misconfigurations,networkservices2,86675,walkthrough,easy,4142,2020-09-15T15:00:06.408Z,2020-09-15T19:00:00.254Z,False,False,https://assets.tryhackme.com/room-banners/networkservices2.png,PoloMints
29,https://tryhackme-images.s3.amazonaws.com/room-icons/24de724519d5a2f65efc6ae06fc2bbd9.png,Google Dorking,Explaining how Search Engines work and leveraging them into finding hidden content!,googledorking,88413,walkthrough,easy,3987,2020-03-29T23:21:37.129Z,2020-03-29T21:26:20.809Z,True,False,https://i.imgur.com/9YpAbRk.png,cmnatic
30,https://tryhackme-images.s3.amazonaws.com/room-icons/fc8943a1ff801b60d586e165812212c6.png,HTTP in detail,Learn about how you request content from a web server using the HTTP protocol,httpindetail,207948,walkthrough,easy,3745,2021-04-07T09:03:23.778Z,2021-05-11T18:30:00.807Z,True,False,https://assets.tryhackme.com/additional/httpindetail/httpindetail.png,tryhackme
31,https://tryhackme-images.s3.amazonaws.com/room-icons/21367ae689e69d81d71b4591474e62ad.png,OpenVPN,A guide to connecting to our network using OpenVPN.,openvpn,139464,walkthrough,easy,3709,2020-01-19T16:40:35.964Z,2020-01-25T00:05:21.301Z,True,False,https://i.imgur.com/luHbdDF.png,tryhackme
32,https://tryhackme-images.s3.amazonaws.com/room-icons/3a11e1490ae19b35d1eefa00a32bdb1a.png,Web Application Security,Learn about web applications and explore some of their common security issues.,introwebapplicationsecurity,168657,walkthrough,easy,3668,2022-03-14T17:22:56.683Z,2022-04-25T15:29:07.005Z,True,False,https://assets.tryhackme.com/room-banners/intro-to-offensive-security.png,strategos
33,https://tryhackme-images.s3.amazonaws.com/room-icons/7a8797ae59733f2a72f0e8a8748be128.jpeg,Mr Robot CTF,"Based on the Mr. Robot show, can you root this box?",mrrobot,87891,challenge,medium,3653,2018-11-27T18:29:56.904Z,2018-11-27T18:29:56.904Z,True,False,https://i.imgur.com/Bo6jUIK.png,ben
34,https://tryhackme-images.s3.amazonaws.com/room-icons/11d59cb34397e986062eb515f4d32421.png,RootMe,"A ctf for beginners, can you root me?",rrootme,77629,challenge,easy,3629,2020-08-04T19:15:17.622Z,2020-09-09T19:00:00.221Z,True,False,https://assets.tryhackme.com/img/banners/default_tryhackme.png,ReddyyZ
35,https://tryhackme-images.s3.amazonaws.com/room-icons/ad5a831987ef92f60ea5ecd4b29523c3.png,Metasploit: Introduction ,An introduction to the main components of the Metasploit Framework. ,metasploitintro,121107,walkthrough,easy,3625,2021-07-25T11:15:38.795Z,2021-09-24T22:58:47.113Z,True,False,https://assets.tryhackme.com/room-banners/metasploit.png,tryhackme
36,https://tryhackme-images.s3.amazonaws.com/room-icons/2f678b7457e828715a10b8bc02fd65b5.png,Content Discovery,Learn the various ways of discovering hidden or private content on a webserver that could lead to new vulnerabilities.,contentdiscovery,124442,walkthrough,easy,3435,2021-07-15T13:56:21.385Z,2021-10-04T09:08:17.144Z,True,False,https://tryhackme-images.s3.amazonaws.com/user-uploads/5efe36fb68daf465530ca761/room-content/03376575e888fd097280c51469c29fbc.png,tryhackme
37,https://tryhackme-images.s3.amazonaws.com/room-icons/f08cdfbcd0340728fdfa7ceccd5e6234.png,Windows Fundamentals 1,"In part 1 of the Windows Fundamentals module, we'll start our journey learning about the Windows desktop, the NTFS file system, UAC, the Control Panel, and more..",windowsfundamentals1xbx,183110,walkthrough,info,3372,2021-04-21T10:21:30.074Z,2021-06-22T17:49:14.372Z,True,False,https://assets.tryhackme.com/room-banners/windows.png,tryhackme
38,https://tryhackme-images.s3.amazonaws.com/room-icons/d9ff4d8d845ecec00615d68b770e8d4b.jpeg,Linux PrivEsc,Practice your Linux Privilege Escalation skills on an intentionally misconfigured Debian VM with multiple ways to get root! SSH is available. Credentials: user:password321,linuxprivesc,72443,walkthrough,medium,3302,2020-05-18T15:20:44.848Z,2020-05-18T22:41:36.807Z,True,False,https://i.imgur.com/RuMC2vG.png,Tib3rius
39,https://tryhackme-images.s3.amazonaws.com/room-icons/14e8664f9484e23a142aa36baf4297be.png,Red Team Fundamentals,"Learn about the basics of a red engagement, the main components and stakeholders involved, and how red teaming differs from other cyber security engagements.",redteamfundamentals,114461,walkthrough,easy,3188,2022-01-18T16:04:32.991Z,2022-02-08T18:09:15.705Z,True,False,https://tryhackme-images.s3.amazonaws.com/user-uploads/5e73cca6ec4fcf1309f2df86/room-content/6cb23ff9b40ce86c6b61c485e66621bb.png,munra
40,https://tryhackme-images.s3.amazonaws.com/room-icons/6a1d86c9b90dd07c729fe9f400f3ba93.png,OSI Model,Learn about the fundamental networking framework that determines the various stages in which data is handled across a network,osimodelzi,121303,walkthrough,info,3154,2021-05-26T12:55:17.608Z,2021-07-01T10:43:32.878Z,False,False,https://assets.tryhackme.com/room-banners/networking.png,cmnatic
41,https://tryhackme-images.s3.amazonaws.com/room-icons/69208399c3fe8b0416103c51e291e117.png,Hydra,"Learn about and use Hydra, a fast network logon cracker, to bruteforce and obtain a website's credentials. ",hydra,89862,walkthrough,easy,3070,2020-02-19T00:00:29.502Z,2020-02-19T00:41:49.956Z,True,False,https://i.imgur.com/kzeMRHz.png,tryhackme
42,https://tryhackme-images.s3.amazonaws.com/room-icons/f28ade2b51eb7aeeac91002d41f29c47.png,Simple CTF,Beginner level ctf,easyctf,81740,challenge,easy,3063,2019-08-19T04:44:53.667Z,2019-08-19T04:44:53.667Z,True,False,/img/banners/default_tryhackme.png,MrSeth6797
43,https://tryhackme-images.s3.amazonaws.com/room-icons/7b1aea0f0bfbd63aa7714f6e049c0d82.png,Intro to Defensive Security,"Introducing defensive security and related topics, such as threat intelligence, SOC, DFIR, and SIEM.",defensivesecurityhq,131440,walkthrough,easy,3046,2022-06-06T10:02:05.402Z,2022-05-04T20:13:23.917Z,True,False,https://assets.tryhackme.com/room-banners/intro-to-defensive-security.png,ben
44,https://tryhackme-images.s3.amazonaws.com/room-icons/0741ea184b13423cdc35c13147cf930b.png,What the Shell?,An introduction to sending and receiving (reverse/bind) shells when exploiting target machines.,introtoshells,65496,walkthrough,easy,2993,2020-10-27T23:56:54.828Z,2020-10-27T19:00:00.423Z,False,False,https://assets.tryhackme.com/room-banners/introtoshells.png,MuirlandOracle
45,https://tryhackme-images.s3.amazonaws.com/room-icons/f38b047a2a7089147766099dffeb8a5d.png,Attacktive Directory,99% of Corporate networks run off of AD. But can you exploit a vulnerable Domain Controller?,attacktivedirectory,80756,challenge,medium,2979,2019-11-26T00:47:47.175Z,2020-04-07T19:19:55.757Z,True,False,https://i.imgur.com/Z8zgznd.png,tryhackme
46,https://tryhackme-images.s3.amazonaws.com/room-icons/ca82a12b6aab343bc4689e6b7690457c.png,Encryption - Crypto 101,"An introduction to encryption, as part of a series on crypto",encryptioncrypto101,81379,walkthrough,medium,2887,2020-09-07T14:12:46.273Z,2020-09-08T19:00:00.284Z,True,False,https://assets.tryhackme.com/room-banners/crypto.png,NinjaJc01
47,https://tryhackme-images.s3.amazonaws.com/room-icons/9a0c0a661ba218c0f9d533c8f41d8dd5.png,OWASP Juice Shop,This room uses the Juice Shop vulnerable web application to learn how to identify and exploit common web application vulnerabilities.,owaspjuiceshop,103137,walkthrough,easy,2882,2020-08-27T03:32:57.137Z,2020-08-28T12:25:44.177Z,True,False,https://i.imgur.com/JaX5W2u.png,Cake
48,https://tryhackme-images.s3.amazonaws.com/room-icons/9fe5ec6f05396b6e9161294ddd3fb1f5.png,Extending Your Network,Learn about some of the technologies used to extend networks out onto the Internet and the motivations for this.,extendingyournetwork,108429,walkthrough,info,2832,2021-05-26T12:56:58.566Z,2021-07-01T10:43:03.701Z,False,False,https://assets.tryhackme.com/room-banners/networking.png,cmnatic
49,https://tryhackme-images.s3.amazonaws.com/room-icons/9c6bc7e6db746ea68ecaa99e328923f1.png,OhSINT,Are you able to use open source intelligence to solve this challenge?,ohsint,69237,challenge,easy,2794,2019-04-12T15:41:44.943Z,2019-04-12T15:41:44.943Z,True,False,https://i.imgur.com/P1nJjnp.png,tryhackme
50,https://tryhackme-images.s3.amazonaws.com/room-icons/86d8d3b6995ddad46f5d9142354b65b1.png,SQL Injection,Learn how to detect and exploit SQL Injection vulnerabilities,sqlinjectionlm,87733,walkthrough,medium,2727,2021-09-16T14:04:16.147Z,2021-10-04T09:08:54.489Z,True,False,https://tryhackme-images.s3.amazonaws.com/user-uploads/5efe36fb68daf465530ca761/room-content/03376575e888fd097280c51469c29fbc.png,tryhackme
51,https://tryhackme-images.s3.amazonaws.com/room-icons/00b6a8786d69f4bd3f4aa2683411421e.jpeg,John The Ripper,Learn how to use John the Ripper - An extremely powerful and adaptable hash cracking tool ,johntheripper0,54872,walkthrough,easy,2713,2020-11-07T23:41:51.819Z,2021-01-19T19:00:00.305Z,False,False,https://assets.tryhackme.com/room-banners/johntheripper.png,PoloMints
52,https://tryhackme-images.s3.amazonaws.com/room-icons/9ad38a2cc31d6ae0030c888aca7fe646.jpeg,Bounty Hacker,You talked a big game about being the most elite hacker in the solar system. Prove it and claim your right to the status of Elite Bounty Hacker!,cowboyhacker,46214,challenge,easy,2670,2020-07-30T12:55:58.435Z,2020-07-30T19:00:00.030Z,True,False,https://i.imgur.com/rCDF5u6.png,Sevuhl
53,https://tryhackme-images.s3.amazonaws.com/room-icons/c9030a2b60bb7d1cf4fcb6e5032526d3.jpeg,Steel Mountain,"Hack into a Mr. Robot themed Windows machine. Use metasploit for initial access, utilise powershell for Windows privilege escalation enumeration and learn a new technique to get Administrator access. ",steelmountain,57056,walkthrough,easy,2652,2019-10-10T16:27:27.406Z,2020-04-03T23:30:09.576Z,False,False,https://i.imgur.com/Uo9F3uE.jpg,tryhackme
54,https://tryhackme-images.s3.amazonaws.com/room-icons/9997256f6f33ebb4a3677439c315622d.png,Windows Fundamentals 2,"In part 2 of the Windows Fundamentals module, discover more about System Configuration, UAC Settings, Resource Monitoring, the Windows Registry and more..",windowsfundamentals2x0x,128838,walkthrough,info,2542,2021-05-05T00:19:56.743Z,2021-06-29T19:00:00.246Z,True,False,https://assets.tryhackme.com/room-banners/windows.png,tryhackme
55,https://tryhackme-images.s3.amazonaws.com/room-icons/5ebaa42422d2cf0aa103b2c77d02e100.png,Upload Vulnerabilities,Tutorial room exploring some basic file-upload vulnerabilities in websites,uploadvulns,50997,walkthrough,easy,2480,2020-08-31T20:26:46.504Z,2020-09-01T19:00:00.150Z,False,False,https://i.imgur.com/wVEQ3Fe.png,MuirlandOracle
56,https://tryhackme-images.s3.amazonaws.com/room-icons/7303ba648ef3f3f899a55c7b19195add.png,Linux Privilege Escalation,"Learn the fundamentals of Linux privilege escalation. From enumeration to exploitation, get hands-on with over 8 different privilege escalation techniques.",linprivesc,57609,walkthrough,medium,2474,2021-06-13T12:03:22.232Z,2021-10-18T21:31:46.782Z,True,False,https://assets.tryhackme.com/room-banners/privesc.png,tryhackme
57,https://tryhackme-images.s3.amazonaws.com/room-icons/fb6a659433d690a8ead6c5f1f61b3a25.png,Packets & Frames,Understand  how data is divided into smaller pieces and transmitted across a network to another device,packetsframes,113933,walkthrough,info,2470,2021-05-26T12:56:17.013Z,2021-07-01T10:43:25.000Z,False,False,https://assets.tryhackme.com/room-banners/networking.png,cmnatic
58,https://tryhackme-images.s3.amazonaws.com/room-icons/7934742b978f9776f9af2efbae0142f3.png,Careers in Cyber,Learn about the different careers in cyber security.,careersincyber,116035,walkthrough,info,2443,2022-04-28T07:39:22.562Z,2022-05-11T12:08:00.804Z,False,False,https://assets.tryhackme.com/room-banners/intro-to-cyber.png,strategos
59,https://tryhackme-images.s3.amazonaws.com/room-icons/8f20f6a9ac029fba68066a06cb17611e.png,Passive Reconnaissance,"Learn about the essential tools for passive reconnaissance, such as whois, nslookup, and dig.",passiverecon,76431,walkthrough,easy,2427,2021-07-21T13:26:59.553Z,2021-10-11T13:13:22.366Z,True,False,https://assets.tryhackme.com/room-banners/netsecmodule.png,strategos
60,https://tryhackme-images.s3.amazonaws.com/room-icons/fe20101a31599f984639afad0f54a2e1.png,Junior Security Analyst Intro,"Play through a day in the life of a Junior Security Analyst, their responsibilities and qualifications needed to land a role as an analyst.",jrsecanalystintrouxo,78140,walkthrough,easy,2414,2021-07-20T18:18:15.214Z,2022-02-22T15:21:34.245Z,True,False,https://assets.tryhackme.com/additional/pyramidofpain/updated/banner.png,tryhackme
61,https://tryhackme-images.s3.amazonaws.com/room-icons/dcc87331d4aa057893ef54b4a4aa35f5.png,Intro to Defensive Security,"Introducing defensive security and related topics, such as threat intelligence, SOC, DFIR, and SIEM.",defensivesecurity,94881,walkthrough,easy,2380,2022-04-07T13:07:35.369Z,2022-05-04T20:13:23.917Z,False,False,https://assets.tryhackme.com/room-banners/intro-to-defensive-security.png,strategos
62,https://tryhackme-images.s3.amazonaws.com/room-icons/098ee61b8842b7e6fc27e9eea9d7e1dc.png,Authentication Bypass,Learn how to defeat logins and other authentication mechanisms to allow you access to unpermitted areas.,authenticationbypass,74413,walkthrough,easy,2376,2021-07-20T07:51:12.067Z,2021-08-17T17:38:46.334Z,False,False,https://tryhackme-images.s3.amazonaws.com/user-uploads/5efe36fb68daf465530ca761/room-content/03376575e888fd097280c51469c29fbc.png,tryhackme
63,https://tryhackme-images.s3.amazonaws.com/room-icons/43522e07a54978ab307ad173fd585ab6.png,Common Linux Privesc,A room explaining common Linux privilege escalation,commonlinuxprivesc,45751,walkthrough,easy,2355,2020-03-18T16:15:36.215Z,2020-03-18T12:40:57.918Z,False,False,https://i.imgur.com/D3pINJ3.png,PoloMints
64,https://tryhackme-images.s3.amazonaws.com/room-icons/2aade89334d1b77f209834edba7853dc.png,MITRE,This room will discuss the various resources MITRE has made available for the cybersecurity community.,mitre,67568,walkthrough,medium,2291,2020-10-22T20:51:05.175Z,2020-11-11T19:00:00.149Z,True,False,https://assets.tryhackme.com/additional/banners/Cyber%20Defence%20Frameworks%20icon%20and%20banner-02.svg,tryhackme
65,https://tryhackme-images.s3.amazonaws.com/room-icons/2fc9d2bc41c0ad97d655ed460ea44fca.png,Nessus,"Learn how to set up and use Nessus, a popular vulnerability scanner.",rpnessusredux,101631,walkthrough,easy,2282,2020-11-04T14:46:09.447Z,2020-06-29T14:24:57.085Z,True,False,https://i.imgur.com/qopFZj9.jpg,DarkStar7471
66,https://tryhackme-images.s3.amazonaws.com/room-icons/829892f5e7936a448f465b64d64f9c62.png,Ice,"Deploy & hack into a Windows machine, exploiting a very poorly secured media server.",ice,52355,walkthrough,easy,2267,2019-11-21T03:51:16.287Z,2020-01-10T19:27:42.145Z,True,False,https://i.imgur.com/6Ijftag.png,DarkStar7471
67,https://tryhackme-images.s3.amazonaws.com/room-icons/530243ef36928bdb58bdb2f5a81153c0.png,Windows Fundamentals 3,"In part 3 of the Windows Fundamentals module, learn about the built-in Microsoft tools that help keep the device secure, such as Windows Updates, Windows Security, BitLocker, and more...",windowsfundamentals3xzx,112669,walkthrough,info,2240,2021-06-04T14:56:01.249Z,2021-07-09T20:00:00.314Z,True,False,https://assets.tryhackme.com/room-banners/windows.png,tryhackme
68,https://tryhackme-images.s3.amazonaws.com/room-icons/ea9887327658c30d21fdbcc63a2b9691.png,"Solar, exploiting log4j","Explore CVE-2021-44228, a vulnerability in log4j affecting almost all software under the sun.",solar,33191,walkthrough,medium,2226,2021-12-12T22:11:33.497Z,2022-02-13T14:54:52.119Z,True,False,https://assets.tryhackme.com/room-banners/log4j-banner.png,JohnHammond
69,https://tryhackme-images.s3.amazonaws.com/room-icons/a6b64823d42120e106cb7e89ceaa4817.png,Nmap Live Host Discovery,"Learn how to use Nmap to discover live hosts using ARP scan, ICMP scan, and TCP/UDP ping scan.",nmap01,92532,walkthrough,medium,2202,2021-07-22T11:13:05.749Z,2021-10-11T22:57:12.245Z,True,False,https://assets.tryhackme.com/room-banners/netsecmodule.png,strategos
70,https://tryhackme-images.s3.amazonaws.com/room-icons/96141387d9d4a22658f8db0ada67d62d.png,Overpass 2 - Hacked,Overpass has been hacked! Can you analyse the attacker's actions and hack back in?,overpass2hacked,43468,walkthrough,easy,2197,2020-08-14T22:12:17.053Z,2020-08-14T19:00:00.057Z,True,False,https://assets.tryhackme.com/img/banners/default_tryhackme.png,NinjaJc01
71,https://tryhackme-images.s3.amazonaws.com/room-icons/f054e83e6b7c61f643222f8141105daf.png,Intro to Digital Forensics,Learn about digital forensics and related processes and experiment with a practical example.,introdigitalforensics,118998,walkthrough,easy,2187,2022-02-16T15:09:19.034Z,2022-03-16T21:11:21.709Z,True,False,https://assets.tryhackme.com/room-banners/intro-to-defensive-security.png,strategos
72,https://tryhackme-images.s3.amazonaws.com/room-icons/e80908cf9848084e2347c2988ef6c0e7.png,Burp Suite: Repeater,Learn how to use Repeater to duplicate requests in Burp Suite,burpsuiterepeater,71629,walkthrough,info,2136,2021-07-11T20:58:22.230Z,2021-09-10T09:16:27.770Z,True,False,https://assets.tryhackme.com/room-banners/burpsuite.svg,MuirlandOracle
73,https://tryhackme-images.s3.amazonaws.com/room-icons/95360a659831708b18fea654cc0c417c.png,Hashing - Crypto 101,"An introduction to Hashing, as part of a series on crypto",hashingcrypto101,54826,walkthrough,medium,2119,2020-06-22T16:29:31.025Z,2020-06-23T19:11:05.203Z,False,False,https://i.imgur.com/Q5lAeak.png,NinjaJc01
